year,loss_percentage,activity,food_supply_stage,cause_of_loss
1994,2.1,,Harvest,"Too Mature, Leading To Breakage"
1994,0.5,,Farm,Field Stacking And Bundling
1994,2.1,Harvesting,Harvest,Combine-Harvester
1994,5.4,,Harvest,Shoulder Power Reaper
1994,5.2,,Farm,Reaper-Binder
1994,1.9,,Harvest,Traditional Hand Cutting
2015,1.78,Storage,Storage,Rodents
2015,11.77,Storage,Storage,Rodents
2015,5.88,Storage,Storage,Rodents
2015,3.57,Storage,Storage,Rodents
2015,17.65,Storage,Storage,Rodents
2015,5.35,Storage,Storage,Rodents
1992,30,,Storage,
2000,3.5,"Shelling, Threshing",,
2000,4.43333,"Drying, Harvesting",Harvest,
2000,2.5,Transportation,Farm,
2000,4.86667,Storage,Farm,
2000,5.26375,Storage,Farm,
2000,6.42,"Drying, Harvesting",Harvest,
2000,2.35714,Transportation,Farm,
2000,4,Drying,Farm,
2000,1.32,"Shelling, Threshing",,
2000,3.13714,"Shelling, Threshing",,
2000,1.25,Transportation,Farm,
2000,4.40333,"Drying, Harvesting",Harvest,
2000,2.5,Winnowing,Farm,
2000,1.2,Storage,Farm,
2000,3.6,"Shelling, Threshing",,
2000,2.16667,Transportation,Farm,
2000,4.55,"Drying, Harvesting",Harvest,
2000,2.69444,Storage,Farm,
2000,2.5,Winnowing,Farm,
2000,2.5,Transportation,Farm,
2000,2,"Shelling, Threshing",,
2000,1.175,Storage,Farm,
2000,3.5,"Drying, Harvesting",Harvest,
2001,4.43333,"Drying, Harvesting",Harvest,
2001,2.5,Transportation,Farm,
2001,4.86667,Storage,Farm,
2001,3.5,"Shelling, Threshing",,
2001,4,Drying,Farm,
2001,2.35714,Transportation,Farm,
2001,6.42,"Drying, Harvesting",Harvest,
2001,5.26375,Storage,Farm,
2001,1.32,"Shelling, Threshing",,
2001,3.13714,"Shelling, Threshing",,
2001,4.40333,"Drying, Harvesting",Harvest,
2001,2.5,Winnowing,Farm,
2001,1.25,Transportation,Farm,
2001,1.2,Storage,Farm,
2001,2.16667,Transportation,Farm,
2001,2.69444,Storage,Farm,
2001,4.55,"Drying, Harvesting",Harvest,
2001,3.6,"Shelling, Threshing",,
2001,2.5,Transportation,Farm,
2001,2,"Shelling, Threshing",,
2001,3.5,"Drying, Harvesting",Harvest,
2001,2.5,Winnowing,Farm,
2001,1.175,Storage,Farm,
2002,3.5,"Shelling, Threshing",,
2002,2.5,Transportation,Farm,
2002,4.86667,Storage,Farm,
2002,4.43333,"Drying, Harvesting",Harvest,
2002,2.35714,Transportation,Farm,
2002,6.42,"Drying, Harvesting",Harvest,
2002,4,Drying,Farm,
2002,5.26375,Storage,Farm,
2002,1.32,"Shelling, Threshing",,
2002,3.13714,"Shelling, Threshing",,
2002,2.5,Winnowing,Farm,
2002,1.2,Storage,Farm,
2002,4.40333,"Drying, Harvesting",Harvest,
2002,1.25,Transportation,Farm,
2002,2.69444,Storage,Farm,
2002,4.55,"Drying, Harvesting",Harvest,
2002,3.6,"Shelling, Threshing",,
2002,2.16667,Transportation,Farm,
2002,2.5,Transportation,Farm,
2002,2.5,Winnowing,Farm,
2002,2,"Shelling, Threshing",,
2002,1.175,Storage,Farm,
2002,3.5,"Drying, Harvesting",Harvest,
2003,2.5,Transportation,Farm,
2003,4.86667,Storage,Farm,
2003,3.5,"Shelling, Threshing",,
2003,4.43333,"Drying, Harvesting",Harvest,
2003,6.42,"Drying, Harvesting",Harvest,
2003,2.35714,Transportation,Farm,
2003,4,Drying,Farm,
2003,1.32,"Shelling, Threshing",,
2003,5.26375,Storage,Farm,
2003,4.40333,"Drying, Harvesting",Harvest,
2003,3.13714,"Shelling, Threshing",,
2003,2.5,Winnowing,Farm,
2003,1.2,Storage,Farm,
2003,1.25,Transportation,Farm,
2003,3.6,"Shelling, Threshing",,
2003,4.55,"Drying, Harvesting",Harvest,
2003,2.69444,Storage,Farm,
2003,2.16667,Transportation,Farm,
2003,3.5,"Drying, Harvesting",Harvest,
2003,1.175,Storage,Farm,
2003,2.5,Winnowing,Farm,
2003,2.5,Transportation,Farm,
2003,2,"Shelling, Threshing",,
2004,3.5,"Shelling, Threshing",,
2004,4.43333,"Drying, Harvesting",Harvest,
2004,4.86667,Storage,Farm,
2004,2.5,Transportation,Farm,
2004,2.35714,Transportation,Farm,
2004,1.32,"Shelling, Threshing",,
2004,4,Drying,Farm,
2004,5.26375,Storage,Farm,
2004,6.42,"Drying, Harvesting",Harvest,
2004,1.2,Storage,Farm,
2004,4.40333,"Drying, Harvesting",Harvest,
2004,3.13714,"Shelling, Threshing",,
2004,1.25,Transportation,Farm,
2004,2.5,Winnowing,Farm,
2004,2.69444,Storage,Farm,
2004,4.55,"Drying, Harvesting",Harvest,
2004,3.6,"Shelling, Threshing",,
2004,2.16667,Transportation,Farm,
2004,2,"Shelling, Threshing",,
2004,3.5,"Drying, Harvesting",Harvest,
2004,1.175,Storage,Farm,
2004,2.5,Winnowing,Farm,
2004,2.5,Transportation,Farm,
2005,4.43333,"Drying, Harvesting",Harvest,
2005,4.86667,Storage,Farm,
2005,2.5,Transportation,Farm,
2005,3.5,"Shelling, Threshing",,
2005,5.26375,Storage,Farm,
2005,6.42,"Drying, Harvesting",Harvest,
2005,2.35714,Transportation,Farm,
2005,4,Drying,Farm,
2005,1.32,"Shelling, Threshing",,
2005,1.2,Storage,Farm,
2005,1.25,Transportation,Farm,
2005,2.5,Winnowing,Farm,
2005,3.13714,"Shelling, Threshing",,
2005,4.40333,"Drying, Harvesting",Harvest,
2005,2.16667,Transportation,Farm,
2005,2.69444,Storage,Farm,
2005,3.6,"Shelling, Threshing",,
2005,4.55,"Drying, Harvesting",Harvest,
2005,2,"Shelling, Threshing",,
2005,3.5,"Drying, Harvesting",Harvest,
2005,2.5,Transportation,Farm,
2005,2.5,Winnowing,Farm,
2005,1.175,Storage,Farm,
2006,2.5,Transportation,Farm,
2006,4.43333,"Drying, Harvesting",Harvest,
